condition,censored,hours,cond1,cond2,cond3
1,1,67.117,1,0,0
1,1,49.733,1,0,0
1,0,6.683,1,0,0
3,1,49.65,0,0,1
1,0,31.55,1,0,0
1,1,49.6,1,0,0
2,1,49.583,0,1,0
1,0,4.583,1,0,0
1,1,49.533,1,0,0
3,1,49.5,0,0,1
2,1,49.367,0,1,0
2,1,47.567,0,1,0
3,0,2.567,0,0,1
4,0,13.917,0,0,0
3,1,47.317,0,0,1
1,0,15.3,1,0,0
2,1,67.3,0,1,0
2,1,67.283,0,1,0
1,1,67.283,1,0,0
1,1,67.267,1,0,0
1,1,67.25,1,0,0
1,1,67.25,1,0,0
2,1,67.233,0,1,0
2,0,5.467,0,1,0
1,1,67.2,1,0,0
4,0,15.05,0,0,0
2,0,7.283,0,1,0
1,1,67.017,1,0,0
4,1,67,0,0,0
2,0,21.25,0,1,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
1,0,2.217,1,0,0
4,1,66.95,0,0,0
2,0,2.2,0,1,0
2,0,2.05,0,1,0
4,0,0.017,0,0,0
2,0,2.033,0,1,0
4,0,39.283,0,0,0
2,0,2.017,0,1,0
4,1,66.75,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,14.733,0,0,0
4,0,4.967,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
3,0,2.933,0,0,1
2,1,48.667,0,1,0
3,0,6.917,0,0,1
2,1,48.65,0,1,0
2,1,48.633,0,1,0
3,1,48.633,0,0,1
1,1,48.617,1,0,0
3,0,13.617,0,0,1
2,1,48.6,0,1,0
3,0,21.083,0,0,1
2,0,20.817,0,1,0
3,1,48.3,0,0,1
4,0,0.017,0,0,0
4,0,0.017,0,0,0
3,0,6.517,0,0,1
4,0,0.017,0,0,0
4,0,8.25,0,0,0
3,0,0.017,0,0,1
4,0,8.117,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
1,1,52.5,1,0,0
1,0,18.333,1,0,0
1,0,1.817,1,0,0
2,1,52.483,0,1,0
3,0,1.8,0,0,1
3,0,1.783,0,0,1
2,0,6.267,0,1,0
1,1,52.433,1,0,0
4,1,52.417,0,0,0
4,0,0.017,0,0,0
3,0,0.017,0,0,1
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
3,0,0.017,0,0,1
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
1,1,48.75,1,0,0
2,0,6.233,0,1,0
1,1,48.733,1,0,0
